timestamp;ecg
4;498
5;505
6;507
7;507
8;500
9;507
10;498
11;496
12;501
13;508
14;499
15;504
0;501
1;506
2;511
3;501
4;497
5;496
6;500
7;509
8;500
9;510
10;505
11;508
12;502
13;500
14;500
15;506
0;504
1;501
2;504
3;504
4;508
5;507
6;503
7;502
8;502
9;505
10;501
11;501
12;500
13;501
14;501
15;506
0;495
1;512
2;497
3;499
4;508
5;503
6;495
7;501
8;513
9;506
10;496
11;497
12;508
13;508
14;503
15;502
0;507
1;497
2;509
3;502
4;499
5;507
6;507
7;508
8;506
9;500
10;503
11;507
12;499
13;508
14;507
15;498
0;503
1;506
2;509
3;502
4;496
5;503
6;501
7;504
8;498
9;510
10;499
11;511
12;500
13;502
14;503
15;502
0;504
1;507
2;507
3;501
4;504
5;507
6;504
7;507
8;501
9;506
10;515
11;502
12;496
13;502
14;503
15;504
0;505
1;500
2;507
3;501
4;508
5;499
6;500
7;505
8;502
9;500
10;504
11;505
12;498
13;499
14;504
15;500
0;504
1;502
2;503
3;501
4;508
5;507
6;507
7;503
8;503
9;508
10;497
11;503
12;502
13;500
14;503
15;503
0;498
1;505
2;508
3;508
4;502
5;501
6;493
7;507
8;508
9;507
10;501
11;504
12;509
13;511
14;501
15;506
0;504
1;506
2;496
3;502
4;498
5;503
6;504
7;507
8;498
9;504
